Title,Platform,Date,Rating,Note
Mother 2,NS,2025-05-14,5,
The Messenger,NS,2025-02-23,4,
Pokémon Violet: The Hidden Treasure of Area Zero,NS,2025-02-16,4,
Pokémon Violet,NS,2025-02-16,4,
Mario Kart 8 Deluxe,NS,2025-02-01,4,
Super Mario Party Jamboree,NS,2025-02-01,4,
Xenoblade Chronicles 2: Torna ~ The Golden Country,NS,2025-01-31,4,“人和之力”强制做支线水时长的意图有点太明显了，系统相比本篇简化了不少，剧情的话原以为会补完本篇的一些设定，但看完还是有的地方没懂。
Donkey Kong Country: Tropical Freeze,NS,2025-01-25,4,平台跳跃这一类型如今略显老派，但本作绝对是属于标杆的，海底、木桶、矿车更增添了多样的乐趣。美术也很棒，场景细节非常丰富，而且几张地图各具特色。至于难度（Switch重制版），根据设置可以分为几个档次，对于没那么硬核的玩家也能够上手，Funky模式可以多一颗心，商店售卖的道具也更便宜，如果还是觉得难，那还可以把角色改成Funky Kong，能二段跳切免受地刺伤害；反之，如果是硬核玩家，可以考虑选择Wii U的经典模式，还不够难的话可以考虑把拼图碎片跟KONG字母全收集。
WarioWare™: Move It!,NS,2025-01-18,4,
Xenoblade Chronicles 2,NS,2025-01-18,5,刚好80小时通关，音乐、角色、剧情都令人印象深刻。游戏要素非常多，体量巨大。
The Legend of Zelda: Echoes of Wisdom,NS,2024-11-27,5,
Doki Doki Literature Club Plus!,NS,2024-11-23,4,原本以为是个恋爱模拟类游戏，看到儿童不宜还略微激动了一下，玩着玩着觉得不太对劲，直到纱世里表白结束后，直接瞳孔地震，后面更是离谱得突破天际。
Animal Well,NS,2024-11-22,4,最后的幽灵狗让我差点破防，难度陡增。
Metal Gear Solid V: Ground Zeroes,PS4,2024-11-15,4,
Castlevania: Symphony of the Night,PS4,2024-11-14,5,
Nioh,PS4,2024-11-13,5,
Monster Hunter Rise: Sunbreak,NS,2024-10-13,5,买的是二手崛起本体（80块钱），没想到卡盒里的曙光兑换码竟然是有效的，一路从本体打完曙光冥渊龙。
Monster Hunter Rise,NS,2024-10-13,5,十几年前看表哥在PSP上玩过怪猎，用的是铳枪，当时完全无法理解这个奇怪的游戏。人物动作极其迟钝，武器也会变钝，要时不时停下来找机会磨刀；升级竟然不加属性，成长完全依赖装备；战斗任务还有限时，怪物还会换区，要扔什么染色球再去找他。 没想到多年以后抱着试一试的心态入坑崛起后好几天无法自拔，从崛起本体打完曙光冥渊龙一口气打了100小时。
Castlevania: Dawn of Sorrow,NDS,2024-09-18,4,
LIVE A LIVE,NS,2024-08-25,3,
Slay the Spire,iOS,2024-07-22,4,
Final Fantasy VI,GBA,2024-07-19,5,
Rise of the Tomb Raider,PS4,2024-07-07,3,
Dragon Quest V: Hand of the Heavenly Bride,NDS,2024-07-01,5,
Horizon Zero Dawn,PS4,2024-03-16,4,
13 Sentinels: Aegis Rim,NS,2023-12-28,4,
Elden Ring,PS4,2023-12-09,4,
God of War Ragnarök,PS4,2023-09-17,4,
The Legend of Zelda: Tears of the Kingdom,NS,2023-08-28,5,
Super Mario Party,NS,2023-06-21,5,
Nintendo Switch Sports,NS,2023-06-21,4,
Phoenix Wright: Ace Attorney – Justice for All,NS,2023-05-18,4,
Phoenix Wright: Ace Attorney,NS,2023-01-06,5,
Vampire Survivors,iOS,2022-12-26,4,
Luigi's Mansion 3,NS,2022-12-04,4,
Resident Evil 2,PS4,2022-12-01,4,Remake
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,NS,2022-05-04,5,
Ori and the Will of the Wisps,NS,2022-02-27,3,
Golf Story,NS,2022-01-16,4,
Xenoblade Chronicles: Definitive Edition,NS,2022-01-07,4,
Metroid Dread,NS,2021-11-22,5,
Super Metroid,SFC,2021-11-18,5,
Super Ghouls 'n Ghosts,SFC,2021-11-14,5,
Ghosts 'n Goblins,FC,2021-11-14,3,
Streets of Rage 2,MD,2021-11-13,3,
Contra: Hard Corps,MD,2021-11-10,3,同类型游戏里面的佳作
Final Fantasy VII Remake,PS4,2021-07-24,4,
It Takes Two,PS4,2021-06-07,5,
Persona 5 Royal,PS4,2021-03-20,5,
Detroit: Become Human,PS4,2021-01-02,5,
Dark Souls III,PS4,2020-12-19,5,
Call of Duty: WWII,PS4,2020-07-11,4,
Bloodborne,PS4,2020-07-04,5,
Uncharted: The Lost Legacy,PS4,2020-05-23,5,
Nier: Automata,PS4,2020-05-10,3,
The Last of Us,PS4,2020-05-05,5,
Uncharted 4,PS4,2020-04-12,5,
Titanfall 2,PS4,2020-04-05,3,
God of War,PS4,2020-04-03,4,
Shadow of the Colossus,PS4,2020-03-15,5,
Bloodstained: Ritual of the Night,PS4,2020-03-07,4,完成度很高，系统太棒了，剧情、画面差一点。
The Legend of Zelda: Link's Awakening,NS,2019-11-15,5,
Super Smash Bros. Ultimate,NS,2019-01-01,5,
Pokémon: Let's Go,NS,2018-12-03,4,
Axiom Verge,PC,2018-12-03,3,音乐很棒，武器系统丰富但不是很有趣，关卡设计没什么新意，boss战比较乏味。
Double Dragon,FC,2018-09-29,3,
Alto's Odyssey,iOS,2018-09-25,3,
Super Mario Bros. 3,FC,2018-09-24,5,
Gradius,FC,2018-09-23,3,
Celeste,PC,2018-09-08,5,上手的话其实难度并没有看起来那么大。
Chuchel,PC,2018-08-24,4,
Shovel Knight,PC,2018-09-01,3,
Undertale,PC,2018-08-19,5,
Bloodstained: Curse of the Moon,PC,2018-08-19,3,
Dead Cells,PC,2018-08-12,3,
Hollow Knight,NS,2018-07-21,4,难度颇高。
Bring You Home,iOS,2018-06-29,3,
Florence,iOS,2018-06-27,3,拼图的创意很棒，故事略显单薄，但不失为一个很棒的手机游戏。
The King of Fighters EX2: Howling Blood,GBA,2018-06-24,4,
Mega Man X,SFC,2018-06-09,3,
Ikaruga,PC,2018-06-02,4,
Overcooked,NS,2018-05-27,4,
The Legend of Zelda: Phantom Hourglass,NDS,2018-04-08,5,
Yoshi's Island DS,NDS,2018-03-15,5,
Bayonetta 2,NS,2018-02-23,4,
Monopoly for Nintendo Switch,NS,2018-02-02,2,
Resident Evil: Revelations,NS,2018-02-01,5,每天晚上像看电影一样玩一点，用最后一颗子弹险胜最终Boss的那一刻太激动了。
Contra 4,NDS,2018-01-10,3,
What Remains of Edith Finch,PC,2017-12-01,5,
Stardew Valley,NS,2017-12-01,3,
Streets of Rage 3,Arcade,2017-11-29,2,
New Super Mario Bros.,NDS,2017-11-23,5,
Super Mario Odyssey,NS,2017-11-10,5,
Monster Tale,NDS,2017-10-29,3,
Metroid: Zero Mission,GBA,2017-10-27,5,
Love You To Bits,iOS,2017-10-03,5,
Chrono Trigger,NDS,2017-10-01,4,
The Legend of Zelda,FC,2017-07-01,3,
1-2-Switch,NS,2017-06-13,2,
Animal Crossing: Pocket Camp,iOS,2017-06-06,1,
The Legend of Zelda: Breath of the Wild,NS,2017-05-23,5,
Cuphead,PC,2017-05-05,5,
VOEZ,iOS,2017-04-01,2,
Crashlands,iOS,2017-02-02,3,
Her Story,PC,2017-01-01,5,
Castlevania: Harmony of Dissonance,GBA,2017-01-01,3,
Fire Emblem Heroes,iOS,2017-01-01,3,
Alto's Adventure,iOS,2017-01-01,3,
Hitman GO,iOS,2017-01-01,2,
Monument Valley,iOS,2017-01-01,3,
Don't Starve,iOS,2016-01-01,3,
Castlevania: Aria of Sorrow,GBA,2016-01-01,4,
League of Legends,PC,2016-01-01,3,
Just Dance 2016,XBOX,2016-01-01,3,
This War of Mine,PC,2016-01-01,3,
INSIDE,PC,2016-01-01,5,
Fez,PC,2016-01-01,5,
Braid,PC,2016-01-01,5,
Metal Slug Advance,GBA,2016-01-01,3,
The Binding of Isaac,PC,2015-01-01,3,
Lifeline,iOS,2015-01-01,3,
Owlboy,PC,2015-01-01,3,
Minecraft,PC,2015-01-01,4,
Goat Simulator,iOS,2015-01-01,2,
Nidhogg,PC,2014-06-01,3,
Dota 2,PC,2014-01-01,5,
Deemo,Android,2014-01-01,2,
Firewatch,PC,2014-01-01,3,
The Stanley Parable,PC,2014-01-01,5,
To the Moon,PC,2014-01-01,4,
Limbo,PC,2014-01-01,4,
Monster Hunter Portable 3rd,PSP,2014-01-01,3,
Patapon,PSP,2014-01-01,4,
Kentucky Route Zero,PC,2014-01-01,5,
God of War: Chains of Olympus,PSP,2013-01-01,3,
God of War: Ghost of Sparta,PSP,2013-01-01,3,
Type:Rider,PC,2012-01-01,3,
The Beginner's Guide,PC,2012-01-01,5,
"Papers, Please",PC,2012-01-01,3,
Knytt Underground,PC,2012-01-01,3,
Ingress,Android,2012-01-01,2,
Left 4 Dead 2,PC,2012-01-01,4,
Assassin's Creed: Brotherhood,PC,2012-01-01,4,
Assassin's Creed II,PC,2012-01-01,4,
Assassin's Creed,PC,2012-01-01,5,
Resident Evil 5,PC,2012-01-01,5,
BioShock,PC,2012-01-01,5,
Battlefield: Bad Company 2,PC,2012-01-01,4,
Fruit Ninja,Android,2012-01-01,4,
Flappy Bird,Android,2012-01-01,4,
Portal,PC,2011-01-01,4,
Machinarium,PC,2010-06-01,3,
Jump Ultimate Stars,NDS,2010-01-01,3,
Naruto: Ninja Council 2,GBA,2010-01-01,3,
Triple Town,Android,2010-01-01,2,
Zookeeper Battle,Android,2010-01-01,4,
World of Goo,PC,2010-01-01,3,
Mari0,PC,2010-01-01,5,
Resident Evil 4,PC,2010-01-01,5,
Just Cause 2,PC,2010-01-01,4,
Devil May Cry 4,PC,2010-01-01,4,
Call of Duty: Modern Warfare 2,PC,2010-01-01,5,
Prototype,PC,2010-01-01,4,
Transformers: War for Cybertron,PC,2010-01-01,3,
Trine,PC,2010-01-01,3,
Prince of Persia,PC,2010-01-01,3,
Superbrothers: Sword & Sworcery EP,PC,2010-01-01,3,
Portal 2,PC,2010-01-01,5,
Colin McRae: Dirt 2,PC,2010-01-01,5,
Need for Speed: Shift,PC,2010-01-01,4,
Plants vs. Zombies,PC,2010-01-01,4,
Ys Origin,PC,2010-01-01,4,
Dragon Ball: Advanced Adventure,GBA,2010-01-01,3,
Super Robot Taisen: Original Generation 2,GBA,2010-01-01,4,
Medal of Honor: Pacific Assault,PC,2009-06-01,3,
Lost in Blue,NDS,2009-06-01,4,
Tactics Ogre: The Knight of Lodis,GBA,2009-01-01,5,
The Legend of Heroes: Trails in the Sky,PC,2009-01-01,3,
The King of Fighters '94,PC,2009-01-01,4,
The King of Fighters '96,PC,2009-01-01,4,
The King of Fighters '97,PC,2009-01-01,4,
The King of Fighters '98,PC,2009-01-01,4,
The Legend of Zelda: The Minish Cap,GBA,2007-06-01,5,不同于系列以往的画风，很是讨喜，无奈剧情有点短。
The Legend of Zelda: Four Swords Adventures,GBA,2006-06-01,4,
Final Fantasy Tactics Advance,GBA,2006-06-01,5,
Mario Kart DS,NDS,2006-06-01,3,
The Legend of Zelda: A Link to the Past,GBA,2006-06-01,5,
The Legend of Zelda: Oracle of Ages,GBC,2006-06-01,5,暑假里一个人静静地玩
The Legend of Zelda: Oracle of Seasons,GBC,2006-06-01,5,
Fire Emblem: The Sacred Stones,GBA,2006-01-01,5,
Fire Emblem: The Binding Blade,GBA,2006-01-01,2,
Fire Emblem: The Blazing Blade,GBA,2006-01-01,2,
Dragon Warrior Monsters,GBA,2005-06-01,5,当时的电玩电可以用二手卡带换新卡，这个就是换来的
Super Mario Land,GB,2005-06-01,5,暑假坐在凉席上看看着我哥通关的
The Legend of Zelda: Link's Awakening,GB,2004-06-01,5,算是少年时期开始玩游戏的启蒙
Kunio-Kun no Nekketsu Soccer League,FC,2002-01-01,4,热血足球
Nekketsu Street Basket: Ganbare Dunk Heroes,FC,2002-01-01,5,热血篮球
Teenage Mutant Ninja Turtles III: The Manhattan Project,FC,2002-01-01,4,忍者神龟3
Jackal,FC,2002-01-01,5,赤色要塞
Teenage Mutant Ninja Turtles: Tournament Fighters,FC,2002-01-01,4,忍者神龟格斗
Mega Man,FC,2002-01-01,3,洛克人
Nekketsu Kakutou Densetsu,FC,2002-01-01,5,热血格斗
Lupin III: Pandora no Isan,FC,2002-01-01,3,鲁邦三世
Mappy,FC,2002-01-01,3,猫捉老鼠
Ninja Gaiden,FC,2002-01-01,3,忍者龙剑传，太难了
Crash 'n' the Boys: Street Challenge,FC,2002-01-01,4,热血新纪录，经常被我哥虐
Lode Runner,FC,2002-01-01,3,淘金者
Contra,FC,2002-01-01,3,魂斗罗
River City Ransom,FC,2002-01-01,4,热血物语
Double Dragon III: The Sacred Stones,FC,2002-01-01,4,双截龙
Chip 'n Dale Rescue Rangers,FC,2002-01-01,5,松鼠大战
Circus Charlie,FC,2002-01-01,2,马戏团，太难了
Ice Climber,FC,2002-01-01,3,敲冰块，适合两个人一起
Saint Seiya: Ougon Densetsu Kanketsu Hen,FC,2002-01-01,1,圣斗士星矢，看不懂日文，完全不知道怎么玩
The Little Mermaid,FC,2002-01-01,3,小美人鱼
Yie Ar Kung-Fu,FC,2002-01-01,2,功夫
Gun.Smoke,FC,2002-01-01,3,荒野大镖客
Guerrilla War,FC,2002-01-01,3,古巴战士
Saiyuuki World,FC,2002-01-01,4,西游记
Street Fighter II,FC,2002-01-01,4,街霸
Fire Emblem: Shadow Dragon and the Blade of Light,FC,2002-01-01,2,
Disney's Aladdin,FC,2002-01-01,3,阿拉丁
Salamander,FC,2002-01-01,3,沙罗曼蛇
P.O.W. Prisoners of War,FC,2002-01-01,2,脱狱
Metal Max,FC,2002-01-01,4,重装机兵
Metal Slug,Arcade,2002-01-01,4,合金弹头
Knights of Valour,Arcade,2002-01-01,2,三国战纪
Cadillacs and Dinosaurs,Arcade,2002-01-01,2,恐龙快打
The Legend of Kage,FC,2002-01-01,1,
Galaxian,FC,2002-01-01,1,打蜜蜂
Bomberman,FC,2002-01-01,4,炸弹人
Dr. Mario,FC,2002-01-01,1,玛丽医生
Super Mario Bros.,FC,2002-01-01,4,
